ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
1572.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,20,28,0,112
1190.0,1,,1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,20,28,1,109
1527.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,20,28,2,109
1431.0,2,,-1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,20,28,3,110
1677.0,2,,1,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,20,28,4,110
1587.0,3,,-1,1,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,9,20,28,5,110
1483.0,3,,1,2,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,12,20,28,6,110
1586.0,4,,-1,1,4,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,16,20,28,7,111
1742.0,,,,,,,,,,,,,,,
333.0,,,,,,,,,,,,,,,
1298.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,21,27,0,111
1244.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,21,27,1,109
2386.0,,,,,,,,,,,,,,,
399.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,22,27,0,109
551.0,0,,1,3,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,22,27,1,110
631.0,,,,,,,,,,,,,,,
315.0,,-1,,1,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,23,28,0,110
536.0,1,,0,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,23,28,1,111
606.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,23,28,2,112
829.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,23,28,3,113
620.0,,,,,,,,,,,,,,,
292.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,24,29,0,113
452.0,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,24,29,1,114
515.0,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,24,29,2,115
672.0,0,,0,0,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,24,29,3,113
2553.0,0,,-1,-1,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,24,29,4,113
513.0,,,,,,,,,,,,,,,
247.0,,-1,,0,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,25,29,0,113
511.0,0,,-1,-1,0,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,25,29,1,114
440.0,,,,,,,,,,,,,,,
228.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,26,30,0,114
350.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,26,30,1,115
451.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,26,30,2,117
439.0,2,,-1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,26,30,3,118
441.0,2,,-1,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,26,30,4,119
422.0,2,,0,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,8,26,30,5,120
421.0,3,,1,1,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,11,26,30,6,118
2460.0,3,,-1,0,3,False,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,14,26,30,7,118
501.0,4,,1,1,4,True,2018-07-17 16:46:32,find_the_center_sim,False,3928866344,18,26,30,8,119
501.0,,,,,,,,,,,,,,,
